PS | CL | 100 | MANUEL | FAHREN | safety_OFF
PRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | OP_D | 65 | MANUAL | FAHREN | safety_ON
PRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | OP_D | 70 | MANUAL | FAHREN | safety_ON
DRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
PRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
PRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
PRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
PRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
PRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
PRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
PRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
PRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
PRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
PRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
PRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
PRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
PRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
PRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
PRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
PRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
PRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
PRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
PRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | FAILED | 100 | AUTO | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
PRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | FAILED | 100 | AUTO | FAHREN | safety_ON
PRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | OP_D | 95 | MANUAL | FAHREN | safety_ON
PRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | OP_D | 90 | MANUAL | FAHREN | safety_ON
PRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | OP_D | 85 | MANUAL | FAHREN | safety_ON
PRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | OP_D | 75 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
PRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
PRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | OP_D | 70 | MANUAL | FAHREN | safety_ON
PRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | OP_D | 65 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | OP_D | 65 | MANUAL | FAHREN | safety_ON
PRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | OP_D | 60 | MANUAL | FAHREN | safety_ON
PRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | OP_D | 55 | MANUAL | FAHREN | safety_ON
PRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | OP_D | 55 | MANUAL | FAHREN | safety_ON
PRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | OP_D | 55 | MANUAL | FAHREN | safety_ON
PRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | OP_D | 50 | MANUAL | FAHREN | safety_ON
PRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | OP_D | 50 | MANUAL | FAHREN | safety_ON
PRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | OP_D | 65 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
PRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | OP_D | 65 | MANUAL | FAHREN | safety_ON
PRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | OP_D | 65 | MANUAL | FAHREN | safety_ON
PRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | OP_D | 65 | MANUAL | FAHREN | safety_ON
PRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | OP_D | 65 | MANUAL | FAHREN | safety_ON
PRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | OP_D | 65 | MANUAL | FAHREN | safety_ON
PRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | OP_D | 65 | MANUAL | FAHREN | safety_ON
PRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | OP_D | 65 | MANUAL | FAHREN | safety_ON
PRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | OP_D | 65 | MANUAL | FAHREN | safety_ON
PRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | OP_D | 65 | MANUAL | FAHREN | safety_ON
PRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | OP_D | 65 | MANUAL | FAHREN | safety_ON
PRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | OP_D | 65 | MANUAL | FAHREN | safety_ON
PRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | OP_D | 65 | MANUAL | FAHREN | safety_ON
PRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | OP_D | 65 | MANUAL | FAHREN | safety_ON
PRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
PRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | OP_D | 65 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | OP_D | 65 | MANUAL | FAHREN | safety_ON
PRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | OP_D | 65 | MANUAL | FAHREN | safety_ON
PRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | OP_D | 65 | MANUAL | FAHREN | safety_ON
PRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
PRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | OP_D | 65 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | OP_D | 65 | MANUAL | FAHREN | safety_ON
PRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | OP_D | 65 | MANUAL | FAHREN | safety_ON
PRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | OP_D | 65 | MANUAL | FAHREN | safety_ON
PRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | OP_D | 65 | MANUAL | FAHREN | safety_ON
PRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | OP_D | 65 | MANUAL | FAHREN | safety_ON
PRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | OP_D | 65 | MANUAL | FAHREN | safety_ON
PRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | OP_D | 65 | MANUAL | FAHREN | safety_ON
PRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | OP_D | 65 | MANUAL | FAHREN | safety_ON
PRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | OP_D | 65 | MANUAL | FAHREN | safety_ON
PRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | OP_D | 65 | MANUAL | FAHREN | safety_ON
PRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
PRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | OP_D | 65 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | OP_D | 65 | MANUAL | FAHREN | safety_ON
PRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | OP_D | 65 | MANUAL | FAHREN | safety_ON
PRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | OP_D | 65 | MANUAL | FAHREN | safety_ON
PRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | OP_D | 65 | MANUAL | FAHREN | safety_ON
PRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | OP_D | 65 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PRS | OP_D | 95 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | OP_D | 65 | MANUAL | FAHREN | safety_ON
PRS | OP_D | 85 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
PRS | OP_D | 75 | MANUAL | FAHREN | safety_ON
DRS | OP_D | 65 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | OP_D | 65 | MANUAL | FAHREN | safety_ON
PRS | OP_D | 65 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | OP_D | 65 | MANUAL | FAHREN | safety_ON
PRS | OP_D | 55 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | OP_D | 65 | MANUAL | FAHREN | safety_ON
PRS | OP_D | 40 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | OP_D | 65 | MANUAL | FAHREN | safety_ON
PRS | OP_D | 25 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | OP_D | 65 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | OP_D | 65 | MANUAL | FAHREN | safety_ON
PRS | OP_D | 15 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
PRS | OP_D | 15 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | OP_D | 65 | MANUAL | FAHREN | safety_ON
PRS | OP_D | 15 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | OP_D | 65 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
PRS | OP_D | 15 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | OP_D | 65 | MANUAL | FAHREN | safety_ON
PRS | OP_D | 15 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | OP_D | 65 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
PRS | OP_D | 15 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | OP_D | 65 | MANUAL | FAHREN | safety_ON
PRS | OP_D | 15 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | OP_D | 65 | MANUAL | FAHREN | safety_ON
PRS | OP_D | 15 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
PRS | OP_D | 15 | MANUAL | FAHREN | safety_ON
DRS | OP_D | 65 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | OP_D | 65 | MANUAL | FAHREN | safety_ON
PRS | OP_D | 15 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | OP_D | 65 | MANUAL | FAHREN | safety_ON
PRS | OP_D | 15 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | OP_D | 65 | MANUAL | FAHREN | safety_ON
PRS | OP_D | 15 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | OP_D | 65 | MANUAL | FAHREN | safety_ON
PRS | OP_D | 15 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | OP_D | 65 | MANUAL | FAHREN | safety_ON
PRS | OP_D | 15 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | OP_D | 65 | MANUAL | FAHREN | safety_ON
PRS | OP_D | 15 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | OP_D | 65 | MANUAL | FAHREN | safety_ON
PRS | OP_D | 15 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | OP_D | 65 | MANUAL | FAHREN | safety_ON
PRS | OP_D | 15 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | OP_D | 65 | MANUAL | FAHREN | safety_ON
PRS | OP_D | 15 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | OP_D | 65 | MANUAL | FAHREN | safety_ON
PRS | OP_D | 15 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | OP_D | 65 | MANUAL | FAHREN | safety_ON
PRS | OP_D | 15 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | OP_D | 65 | MANUAL | FAHREN | safety_ON
PRS | OP_D | 15 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
PRS | OP_D | 15 | MANUAL | FAHREN | safety_ON
DRS | OP_D | 65 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | OP_D | 65 | MANUAL | FAHREN | safety_ON
PRS | OP_D | 15 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | OP_D | 65 | MANUAL | FAHREN | safety_ON
PRS | OP_D | 15 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | OP_D | 65 | MANUAL | FAHREN | safety_ON
PRS | OP_D | 15 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | OP_D | 65 | MANUAL | FAHREN | safety_ON
PRS | OP_D | 15 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | OP_D | 65 | MANUAL | FAHREN | safety_ON
PRS | OP_D | 15 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | OP_D | 65 | MANUAL | FAHREN | safety_ON
PRS | OP_D | 15 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | OP_D | 65 | MANUAL | FAHREN | safety_ON
PRS | OP_D | 15 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | OP_D | 65 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
PRS | OP_D | 15 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | OP_D | 65 | MANUAL | FAHREN | safety_ON
PRS | OP_D | 15 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
PRS | OP_D | 15 | MANUAL | FAHREN | safety_ON
DRS | OP_D | 65 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | OP_D | 65 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
PRS | OP_D | 15 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | OP_D | 65 | MANUAL | FAHREN | safety_ON
PRS | OP_D | 15 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | OP_D | 65 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
PRS | OP_D | 15 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | OP_D | 65 | MANUAL | FAHREN | safety_ON
PRS | OP_D | 15 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | OP_D | 65 | MANUAL | FAHREN | safety_ON
PRS | OP_D | 15 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
